channel,m1,m2,spin1,spin2,metallicity,redshift,mass_ratio,total_mass
pop3_remnant,103.83631021010228,112.94548556315576,0.7687905690257572,0.9839322829756776,9.89279945106385e-05,8.947398838168581,1.0877263005072308,216.78179577325804
pop3_remnant,113.56453219526132,81.009219528256,0.8907310443773546,0.8969775423577953,5.5359816938409525e-06,10.247099950998386,0.7133320409313169,194.57375172351732
field_binary,27.274364394232315,18.40240915860301,0.013266101936909858,0.4681061231218449,0.01148746817495198,1.5990866017384198,0.6747145008627424,45.67677355283533
globular_cluster,29.248702590709225,31.727582988105446,0.5568784431720959,0.20754093620570346,0.0017756404457281458,1.4440230885429184,1.0847518070146343,60.97628557881467
field_binary,6.5829551118688325,6.4075818920459335,0.2824205666313082,0.032104468537567044,0.010954722756114251,1.9529204014528625,0.9733594993672815,12.990537003914767
pop3_remnant,81.80396116945198,106.74598365995189,0.554741183034497,0.8090514827808484,7.722675568375058e-05,18.704484468849955,1.3048999355768849,188.54994482940387
field_binary,14.797686393108,23.528016232251478,0.40475803736243904,0.05071041422460826,0.01033239515662036,0.9281181535883463,1.5899793796961135,38.325702625359476
pop3_remnant,75.217287749553,78.7338425730726,0.5140607531389618,0.7559693153409639,7.787898909129077e-06,13.652609155291394,1.0467519493022466,153.9511303226256
globular_cluster,28.433178054701646,43.82768325969993,0.6736454174749077,0.1430011226657264,0.0012365406325373363,0.02512466176774719,1.5414275244005897,72.26086131440158
pop3_remnant,69.20160847400368,78.44479526690145,0.5649285067089405,0.7464913552290445,1.912421290761214e-05,10.57809475894543,1.1335689588251416,147.64640374090513
pop3_remnant,78.41842957117288,63.9943517978453,0.5509393820697783,0.7089920427534568,9.883705667215711e-05,12.751153224722572,0.816062654503477,142.41278136901818
field_binary,14.057299356000591,25.319989181437563,0.07433136387655648,0.38051199547149944,0.006336866481740249,2.580419080048305,1.8011986897489884,39.377288537438154
